era,Title,Album,swear_total,total_words,swears_per_1000
SSLP,’97 Bonnie & Clyde,The Slim Shady LP,0,790,0
MMLP,Rush Ya Clique,Night Life EP,0,104,0
MMLP,Words Are Weapons,Devil’s Night,0,339,0
MMLP,Off the Wall,Nutty Professor II: The Klumps (Soundtrack) [UK Version],0,88,0
MMLP,American Psycho,Devil’s Night,0,76,0
MMLP,Rock City,Rock City (Version 2.0),0,239,0
ESH,Say What You Say,The Eminem Show,0,228,0
ESH,Lose Yourself,8 Mile,0,809,0
ENC,Welcome To D-Block,Kiss of Death,0,490,0
ENC,Just Like U,D12 World,0,3,0
ENC,Drama Setter,Thoughts of a Predicate Felon,0,404,0
ENC,When I’m Gone,Curtain Call: The Hits (Deluxe Edition),0,927,0
ENC,Public Enemy #1,Eminem Presents the Re-Up,0,383,0
ENC,We’re Back,Eminem Presents the Re-Up,0,26,0
REL,We Made You,Relapse: Refill,0,565,0
REC,Love the Way You Lie,Recovery,0,545,0
MMLP2,Asylum,welcome to: OUR HOUSE,0,254,0
MMLP2,Numb,Unapologetic (Deluxe Version),0,124,0
MMLP2,C’mon Let Me Ride,Don’t Look Down,0,44,0
MMLP2,Die Hard,Detox,0,192,0
REV,Like Home,Revival,0,466,0
MTBMB,Remember the Name,No.6 Collaborations Project,0,167,0
MTBMB,Those Kinda Nights,Music to Be Murdered By: Side B,0,288,0
MTBMB,USE THIS GOSPEL,GOD DID,0,328,0
TDOSS,Temporary,The Death of Slim Shady (Coup De Grâce),0,187,0
